title,company,location,link
Developer Relations Manager,NVIDIA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=073b7071c036dba2
[관계사] 카카오엔터프라이즈 검색플랫폼 빅데이터 분석 및 AI 개발자,카카오엔터프라이즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5a1e5f692cb9bd82
"[데이터 분석 스타트업] UI/UX개발/고객행동분석 (Python, GA, Database)",온누리아이코리아,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=abeb2f106393ad76
[경력] 빅데이터 및 데이터분석 컨설팅 - Digital 본부,삼정 KPMG,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e4526d75d18b3635
[관계사] 카카오엔터프라이즈 AI기술 음성처리기술 개발자,카카오엔터프라이즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=05132839beae0883
[관계사] 카카오페이 데이터 사이언티스트(Data Scientist),카카오페이,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=25351f9ce2b78194
RF Production Test Engineer,Qualcomm,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9501d92030085af2
Data Analyst,Axiologic Solutions,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eb45c08f4c4a43d8
Healthcare Real World Data Analyst 담당자,IQVIA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a39853230d5ceca8
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3a08c7089343733d
SDET Engineer,Nielsen,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c46c1d3d5b3fb904
[Search&Clova] Clova 음성인식 기술 개발 경력사원,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1533d08015a46cfc
[관계사] 카카오모빌리티 DevOps엔지니어,카카오,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3429314fff887dea
AI팀(액티브 퀀트/인덱스 펀드) 사원·대리급,이스트스프링자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7bf30c81a0e59d82
정답형 검색 서비스 개발자,네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0de9da46737b4c75
마케팅(전략기획)신입~경력,비스퀘어,부산 해운대구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=30279163f8f6cba7
SW Application Engineer,Intel,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6efeca49db1417dc
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
2019년 하반기 부문별 경력,알티캐스트,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=145eb73a0a3d2141
"Front End Software Engineer, TensorFlow",Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bb22e1b9b7683013
EQUITY본부 경력직,KB증권,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=de6034fa3ef850c8
데이터 분석 및 모델링 (페이코 쿠폰/광고 타겟팅),NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4e17fe419583b40b
[관계사] Ground X Tech Support Engineer / Site Reliability Engineer,카카오,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=61fa73c450700bf3
[라프텔] 마케팅 담당자,리디,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=00af8f1bc324ef8d
[보안]보안솔루션 운영 담당자(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=84fd4c2127309eea
리서치센터 RA,신한금융투자,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5f7da090abe24e91
데이터연동개발팀 - 데이터엔지니어,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=83afcd111984f51c
키친엑스에서 자동화 기계관련 일 함께할 인재 하고 있습니다.,키친엑스,서울 용산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0eb67a446a37b284
Hadoop Eco 관리 모듈 개발,현대오토에버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c573c45404960f8f
Staff Engineer for RF PA Module Test,Qualcomm,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2ee36692349dce88
[Search & Clova] BigData and AI Platform S/W엔지니어 (경력/신입),네이버,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7d85150a375cfacf
